nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk,area
CUANKI/CUANKIE SIOMAY SPECIAL MURAH ASLI GARUT ISI 100 PCS BOCI&SEBLAK,35999,ArfaOnlineShop,Tangerang,10,5.0,Jabodetabek
Kerupuk Seblak | Cemilan Pedas | Cemilan Kering 150gr,9256,vieka mart official,Tangerang Selatan,30,4.9,Jabodetabek
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",42500,gaiagarut,Kab. Garut,250,4.8,Luar Jabodetabek
Kerupuk Seblak Rafael Mawar Putih Pedas,8355,oke snack,Jakarta Selatan,80,4.9,Jabodetabek
(HARGA TERMURAH) seblak instan mantap,3900,baso aci zahra,Kab. Bandung,1000,4.7,Luar Jabodetabek
SHAZA BASO ACI CUANKI / BOCI CUANKI,15500,Bentang Frozen,Tangerang Selatan,100,4.9,Jabodetabek
Cuanki tahu atau batagor kering kiloan murah isi 150 seblak baso aci,32500,CuankiCulametan,Kab. Garut,100,4.9,Luar Jabodetabek
Batagor,45000,UMMU GENDIS FOOD,Depok,24,5.0,Jabodetabek
GURILEM 250GR TOPPING BASO ACI / SEBLAK,11000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,20,4.8,Jabodetabek
Kerupuk Jablay BANTET 1 KG |Krupuk Jablay Seblak Kencur 1KG 1000g 1000,35000,Toko 21 Cempaka Baru,Jakarta Pusat,40,4.9,Jabodetabek
Cuanki tahu Gepeng Geprek isi 100 pcs toping seblak baso Aci baso,35000,Distributor Cuanki dan Seblak,Kab. Bekasi,50,4.9,Jabodetabek
bumbu seblak basah instan,26666,Kickball Official,Bandung,250,4.7,Luar Jabodetabek
Seblak Instan,20500,dmpOLSHOP,Kab. Bekasi,21,5.0,Jabodetabek
Seblak Basah Instan Good Friend (90gr),15700,Gerai Snack Official Shop,Kab. Tangerang,40,5.0,Jabodetabek
KERUPUK SEBRING 500 GRAM / KERUPUK SEBLAK MAWAR,22000,Dapur Sehat21,Kab. Bandung,5,5.0,Luar Jabodetabek
Kyla Food Seblak Original,21500,fasyaa_id,Bandung,40,5.0,Luar Jabodetabek
SEBLAK INSTAN SEHAT NON MSG,6000,newtopik,Bandung,100,4.8,Luar Jabodetabek
kerupuk bawang mentah/kerupuk seblak/kerupuk warna warni 1kg,37000,tukangsayurjkt,Jakarta Selatan,30,5.0,Jabodetabek
Kerupuk Putih 250 gr Krupuk Sumbersari Kurupuk Sumber Sari Seblak,6500,Celikafood,Bandung,60,4.7,Luar Jabodetabek
