nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk
SEBLAK JUMBO + SOSIS INSTANT,Rp5.800,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,1rb+ terjual,4.7
PAKET MIX HEMAT 25 BASO ACI/BOCI/SEBLAK/CUANKI,Rp45.000,ArfaOnlineShop,Tangerang,70+ terjual,4.9
SEBLAK INSTAN SAJODO SNACK,Rp18.500,Sajodo Snack & Food,Tasikmalaya,70+ terjual,5.0
KERUPUK SEBLAK KENCUR/SEBLAK CIKRUH BERAT 500 GRAM,Rp22.500,aurel prima snack,Jakarta Barat,8 terjual,3.7
seblak / paket seblak bumbu komplit pedas ekonomis,Rp3.479,Grosir Putra Bdg,Kab. Bandung,250+ terjual,4.9
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE, ENAK DAN GURIH",Rp18.000,global cookware1,Jakarta Barat,90+ terjual,4.9
Omiyago Snack Kerupuk Seblak,Rp6.020,omiyago,Jakarta Barat,30+ terjual,4.8
Kerupuk Seblak Kencur Pedas Gurih - Anum Sari - 250 Gram,Rp14.000,ANUM SARI,Tangerang Selatan,70+ terjual,4.9
cemilan SEBLAK KARI PEDAS 65gr,Rp4.500,oke snack,Jakarta Selatan,100+ terjual,4.8
GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,Rp16.618,Lakoca Official Shop,Cimahi,100+ terjual,4.9
Kerupuk Seblak Putih/ Kerupuk Seblak Putih Pedas Daun Jeruk,Rp15.000,Homisnack Official,Jakarta Selatan,5 terjual,5.0
Kerupuk Seblak RAFAEL / Krupuk Seblak Pedas Bantet - Molagi Snack - 250 Gram,Rp15.000,MOLAGI SNACK,Depok,5 terjual,
Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,Rp51.900,Rak Sebelah,Jakarta Pusat,50+ terjual,4.8
"CUANKI SIOMAY TOPING BASO ACI, MIE INSTAN, SEBLAK",Rp17.500,global cookware1,Jakarta Barat,500+ terjual,4.8
KERUPUK SEBLAK JABLAY 250 GRAM,Rp10.000,TOKO KUE MEISYA,Jakarta Pusat,250+ terjual,4.9
KERUPUK KRUPUK JABLAY SEBLAK PELANGI KILOAN TERLARIS 250 GRAM,Rp15.000,toko kue pundi mas,Jakarta Pusat,100+ terjual,4.9
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK 250GRAM SNACK KILOAN,Rp15.000,ajs(ale jaya snack),Jakarta Utara,10 terjual,4.7
KERUPUK SEBLAK Aneka Warna PEDAS ... HOT,Rp14.000,KRIUK JAYA,Jakarta Barat,100+ terjual,4.7
Cuanki lidah standar 150 pcs khas garut untuk baso aci & Seblak K'rasa,Rp39.999,aghniya,Tangerang Selatan,500+ terjual,4.9
KERUPUK / KRUPUK SEBLAK RAFAEL RENYAH / GURIH / CRISPY / KRISPY ,Rp6.600,TOKO SNACK JAKARTA HENDI,Jakarta Timur,1rb+ terjual,4.8
"seblak krupuk 5000 ,pedas dan gurih",Rp4.000,anugrah seblak,Kab. Bandung,1rb+ terjual,4.7
Makanan Kering Kerupuk Seblak Pedas 100 gram,Rp5.000,BLIBET,Jakarta Barat,8 terjual,5.0
"keripik beling / kaca 1 kg. bumbu seblak daun jeruk enak, gurih, pedas",Rp44.999,aghniya,Tangerang Selatan,250+ terjual,4.8
kerupuk seblak pedas / kerupuk jablay,Rp15.000,CAMILLANS,Jakarta Selatan,17 terjual,4.9
Kerupuk Merah Seblak 250gr BANDUNG,Rp4.950,yohangunawan94,Bandung,750+ terjual,5.0
SEBLAK COET BY NYEMILSAJI,Rp15.287,nyemilsaji,Kab. Bandung,60+ terjual,5.0
Seblak Uleg Ala Mamang Rafael,Rp9.000,Ghery Durian Shop,Jakarta Timur,25 terjual,5.0
Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,Rp6.800,Djuragan Kerupuk,Surabaya,90+ terjual,5.0
Seblak Ceker Instant | Seblak Ceker Cap Dia Putra | Seblak Ceker,Rp7.500,GshoesTreatment,Kab. Bogor,29 terjual,5.0
SEBLAK CEKER CAP DUA PUTRA ISI 20 X 10 gram,Rp9.000,HRNWN STORE,Kab. Tangerang,11 terjual,5.0
Kerupuk Seblak Kencur / Seblak Jablay Viral @100-500gr,Rp9.000,Toko Camilan Anyar,Surabaya,80+ terjual,4.9
SEBLAK COBEK VIRAL ALA RAFAEL DIJAMIN ENAK,Rp6.000,Uai Food,Surabaya,80+ terjual,4.7
Kerupuk Seblak Pedas 200gram,Rp17.000,toko bemo,Jakarta Timur,100+ terjual,4.8
Kerupuk seblak orens / kerupuk sari laut orange mentah,Rp5.800,home_nature,Kab. Tangerang,60+ terjual,5.0
Bakso Aci Seblak Mie instant baso kekinian halal murah enak,Rp6.999,Maya Light Electro,Tangerang,30+ terjual,4.6
SEBLAK INSTAN MOMMY,Rp13.500,Rav Jaya Display,Kab. Tangerang,1rb+ terjual,4.8
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,Rp17.160,Foodstocks,Jakarta Selatan,80+ terjual,4.9
kerupuk seblak kering enak gurih,Rp5.000,RIKI STORE 97,Kab. Bogor,250+ terjual,4.8
Kerupuk Merah/Kerupuk Seblak Mentah,Rp7.000,Nyonya Sayur,Jakarta Pusat,100+ terjual,5.0
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,Rp29.999,Pedas Gilaa,Surabaya,750+ terjual,4.9
KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk,Rp7.900,Iguazabest777,Kab. Tangerang,50+ terjual,4.9
Seblak Instan Jontor Plus Bumbu Kencur - Seblak Pedas Medok,Rp7.600,snackbox88,Bekasi,30+ terjual,5.0
KERUPUK KRUPUK SEBLAK PEDAS 250 GR,Rp10.000,TOKO KUE MEISYA,Jakarta Pusat,100+ terjual,4.9
MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,Rp15.000,Lidigeli,Kab. Garut,100+ terjual,4.9
KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,Rp16.000,AyundaSnack,Bandung,50+ terjual,4.8
Mamafuji - PROMO BUNDLING !!! SEBLAK & BAKSO ACI,Rp41.999,Mama Fuji Official,Tangerang,50+ terjual,4.6
TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,Rp34.999,ArfaOnlineShop,Tangerang,100+ terjual,4.9
kerupuk seblak mentah,Rp14.000,warung sayur putri,Depok,,
Seblak Instan Sehati,Rp13.000,Official Kartika Sari,Bandung,500+ terjual,5.0
Bumbu Seblak - Cairo Food,Rp25.500,Cairo Food,Jakarta Pusat,29 terjual,5.0
KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,Rp16.695,Toko kue Sumber Mas,Jakarta Timur,250+ terjual,4.9
Seblak Merah Pedas / Kerupuk Bawang Oleh Oleh Bandung Odjolali,Rp9.000,The Little Snacks,Tangerang Selatan,500+ terjual,4.9
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP - Original,Rp22.000,Rasa Juara Indonesia,Kab. Bandung,1rb+ terjual,4.9
Kerupuk Mawar Tipis Merk Singa Kerupuk Seblak Kerupuk Mentah - 1kg,Rp28.130,Djuragan Kerupuk,Surabaya,4 terjual,5.0
siomay mini kering 1kg toping seblak baso aci,Rp25.000,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
seblak Abah aceng paling top pedas mantul,Rp5.000,cemilan Bandungstore,Cimahi,4 terjual,
Seblak Juara ! Seblak Instan Rasa Original - 2 Ori 4 Rd,Rp115.000,Rasa Juara Indonesia,Kab. Bandung,2rb+ terjual,4.9
BASO ACI INSTANT x SEBLAK INSTANT - HALU! EMAK INDAH FOOD,Rp44.600,Pempek Emak Indah,Jakarta Barat,50+ terjual,4.9
seblak kencur / okesnack,Rp10.000,oke snack,Jakarta Selatan,750+ terjual,4.9
krupuk stik seblak pedas-200gram,Rp13.500,yumnaa snack,Kab. Bekasi,30+ terjual,5.0
Kerupuk Seblak Vegetarian Snack Vegan,Rp14.500,veggieku store,Jakarta Barat,7 terjual,4.8
snack kiloan kerupuk seblak pedas nagih 250 gram free bubble warp,Rp16.000,camilaNung,Bekasi,500+ terjual,4.8
seblak instan jawara pedas sehot bandung,Rp13.000,cemilan Bandungstore,Cimahi,60+ terjual,4.9
Baso urat djuara sami raos/Baso Aci Urat /Seblak,Rp26.000,Snackzone PP,Jakarta Pusat,25 terjual,5.0
"paket bundling 10 pcs 3 bocigar, 3 seblak instan, 4 cuanki instan ",Rp50.000,cemilan Bandungstore,Cimahi,1 terjual,
"paket komplit cuanki instan 5pcs, seblak 3pcs, boci mini 3pcs",Rp55.000,cemilanindonesia22,Kab. Garut,,
Paket Isi 6 Makaroni Basah Instan | Seblak Basah Instan,Rp93.840,Lakoca Official Shop,Cimahi,15 terjual,4.8
seblak super hot isi 24 pcs ,Rp10.800,Toko JJ Cleon,Palembang,15 terjual,4.8
Seblak Mommy,Rp13.900,Gerai Snack Official Shop,Kab. Tangerang,2rb+ terjual,4.6
TAHU STICK / TAHU KERITING ISI 50 PCS TOPPING BASO ACI / SEBLAK,Rp18.000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,30+ terjual,5.0
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk ( 1 KG ),Rp79.000,KRIUK JAYA,Jakarta Barat,7 terjual,5.0
Kerupuk SEBLAK KERITING PEDAS,Rp20.000,KRIUK JAYA,Jakarta Barat,100+ terjual,4.9
SEBLAK JELETET MURNI ( BOHAYY),Rp34.000,Seblak Jeletet Murni,Jakarta Pusat,750+ terjual,4.8
kerupuk seblak pedas daun jeruk,Rp5.000,RIKI STORE 97,Kab. Bogor,100+ terjual,4.7
Seblak Instan KSN,Rp10.000,Ohayo Bento New,Jakarta Timur,30+ terjual,4.8
cuanki/cuankie lidah 50 pcs khas Garut topping baso Aci/seblak/boci,Rp16.999,ArfaOnlineShop,Tangerang,100+ terjual,4.9
Cuanki Lidah Kerupuk Cuanky Topping Baso Aci Seblak isi 150 Pcs,Rp33.000,Kerabat Official Store,Kab. Tasikmalaya,100+ terjual,4.9
Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,Rp19.500,Foodstocks,Jakarta Selatan,30+ terjual,4.8
Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral,Rp85.000,Central Seblak Nusantara,Tangerang Selatan,17 terjual,5.0
Baso urat djuara sami raos/Baso Aci Urat /Seblak,Rp26.000,Snackzone KK,Jakarta Selatan,8 terjual,5.0
Seblak instant isi korean tteokbokki dan odeng,Rp16.900,dse_food,Kab. Bogor,,
seblak instang gangkampung 10pcs,Rp46.000,cemilanindonesia22,Kab. Garut,,
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp22.500,Lidigeli,Kab. Garut,40+ terjual,5.0
kerupuk seblak kering pedas 500 gr hot spicy keripik enak,Rp22.000,JAGO TOK PETOK,Surabaya,100+ terjual,4.9
Kerupuk Orange 250 gr Krupuk Sumber Sari Seblak Sumbersari Oren Merah,Rp6.500,Celikafood,Bandung,100+ terjual,4.9
Kerupuk Seblak viral /Kerupuk Mawar Mentah 500gram,Rp15.000,Bumbukeluargakita,Jakarta Barat,11 terjual,4.0
Kerupuk Seblak Pedas Gurih aroma Kencur,Rp15.000,DUO BOCIL SNACK,Depok,1rb+ terjual,4.7
seblak instan carla komplit batagor siomay jajanan khas bandung,Rp14.500,humaniss,Tangerang Selatan,10 terjual,5.0
Kerupuk Bawang Mentah Premium / Krupuk Seblak Warna Warni 1 Kg,Rp21.500,Sinar Baru Group,Jakarta Selatan,80+ terjual,4.9
